Date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
04/02/2015 17:51,23.18,27.272,426,721.25,0.004793,1
04/02/2015 17:51,23.15,27.2675,429.5,714,0.004783,1
04/02/2015 17:53,23.15,27.245,426,713.5,0.004779,1
04/02/2015 17:54,23.15,27.2,426,708.25,0.004772,1
04/02/2015 17:55,23.1,27.2,426,704.5,0.004757,1
04/02/2015 17:55,23.1,27.2,419,701,0.004757,1
04/02/2015 17:57,23.1,27.2,419,701.6666667,0.004757,1
04/02/2015 17:57,23.1,27.2,419,699,0.004757,1
04/02/2015 17:58,23.1,27.2,419,689.3333333,0.004757,1
04/02/2015 18:00,23.075,27.175,419,688,0.004745,1
04/02/2015 18:01,23.075,27.15,419,690.25,0.004741,1
04/02/2015 18:02,23.1,27.1,419,691,0.004739,1
04/02/2015 18:03,23.1,27.16666667,419,683.5,0.004751,1
04/02/2015 18:04,23.05,27.15,419,687.5,0.004734,1
04/02/2015 18:04,23,27.125,419,686,0.004715,1
04/02/2015 18:06,23,27.125,418.5,680.5,0.004715,1
04/02/2015 18:07,23,27.2,0,681.5,0.004728,0
04/02/2015 18:08,22.945,27.29,0,685,0.004728,0
04/02/2015 18:08,22.945,27.39,0,685,0.004745,0
04/02/2015 18:10,22.89,27.39,0,689,0.00473,0
04/02/2015 18:10,22.89,27.39,0,689.5,0.00473,0
04/02/2015 18:11,22.89,27.39,0,689,0.00473,0
04/02/2015 18:13,22.89,27.445,0,691,0.004739,0
04/02/2015 18:14,22.89,27.5,0,688,0.004749,0
04/02/2015 18:15,22.89,27.5,0,689.5,0.004749,0
04/02/2015 18:16,22.79,27.445,0,689,0.00471,0
04/02/2015 18:16,22.79,27.5,0,685.6666667,0.00472,0
04/02/2015 18:17,22.79,27.5,0,687,0.00472,0
04/02/2015 18:19,22.79,27.5,0,688,0.00472,0
04/02/2015 18:20,22.745,27.5,0,670,0.004707,0
04/02/2015 18:21,22.7,27.46333333,0,668.6666667,0.004688,0
04/02/2015 18:22,22.7,27.5,0,670,0.004694,0
